"36L","36R","01"
8.68421052631579,9.32335907335908,5.47721410146174
5.28888888888889,7.11003565970453,6.04311803152634
3.11385542168675,6.88389750545497,6.21566123010415
4.18808411214953,8.73422348304033,5.95154185022026
4.17582417582418,6.27651515151515,8.66825259515571
4.64406779661017,6.77085723025159,6.97716513505987
2.69630110317975,6.79480097247997,4.14005476723923
3.4950994950995,6.17941966819108,5.87644207795754
1.28930817610063,5.8449329290702,7.00669042113642
2.88136241867585,6.71455544112599,7.54018151815181
1.92306170886076,6.66569133192389,7.28226170078456
6.33165195460277,8.28352159468439,7.15563144689155
4.68582417582417,5.20390017367666,5.44117647058824
4.68511904761905,3.16239542051959,3.70114942528736
3.55230669265757,7.58149316508938,NA
4.93863636363636,6.18527607361963,NA
4.55309855309855,6.40519403866018,4.38
3.66616426487853,8.55918384005827,9.08710801393728
NA,NA,NA
3.73765897043455,7.29227859053457,NA
3.15666780793288,7.69800711429266,8.62377450980392
2.44030950444789,7.55926313611412,7.1465661641541
5.80352955695421,7.31358024691358,8
2.89034900868425,9.38931297709924,6.97402597402597
2.49076469526503,7.85608583055864,7.70833333333333
3.38587281944833,11.7612683438155,NA
2.45574738755111,5.25,NA
NA,NA,NA
4.71183936973411,7.56237769080235,10.2608695652174
1.40170758869385,3.35902605459057,4.11631578947368
0,4.34285714285715,7.71641791044776
NA,10.3,2.35294117647059
NA,1.5,NA
